business_unit_id,location_name,department_name,respondents,dominant_ahca_wa,wa_matched_respondents
52015,ASV St. Johns County,Critical Care Unit 001,11,8,11
52015,ASV St. Johns County,Diagnostic Radiology 001,8,21,8
52015,ASV St. Johns County,Emergency Department 001,23,6,23
52015,ASV St. Johns County,Endoscopy GI 001,6,17,6
52015,ASV St. Johns County,Invasive Cardiology Anc 001,6,34,6
52015,ASV St. Johns County,Magnetic Resonance Imaging 001,1,21,1
52015,ASV St. Johns County,Materials Management 001,2,18,2
52015,ASV St. Johns County,Nuclear Medicine 001,2,1,2
52015,ASV St. Johns County,Nursing Administration 001,5,24,5
52015,ASV St. Johns County,Nursing Unit 001,26,2,26
52015,ASV St. Johns County,Nursing Unit 002,19,2,19
52015,ASV St. Johns County,Occupational Therapy 001,1,2,1
52015,ASV St. Johns County,Pastoral Spiritual Care 001,1,1,1
52015,ASV St. Johns County,Patient Transportation 001,6,21,6
52015,ASV St. Johns County,Physical Therapy 001,5,1,5
52015,ASV St. Johns County,PreSurgery 001,4,18,4
52015,ASV St. Johns County,Recovery Rm Amb 001,22,18,22
52015,ASV St. Johns County,Respiratory Care 001,13,1,13
52015,ASV St. Johns County,Security 001,3,1,3
52015,ASV St. Johns County,Speech Therapy 001,2,1,2
52015,ASV St. Johns County,Stepdown Intermediate Care 001,3,8,3
52015,ASV St. Johns County,Sterile Processing 001,4,34,4
52015,ASV St. Johns County,Surgery 001,13,18,13
52015,ASV St. Johns County,Surgical Services Admin 001,1,4,1
52015,ASV St. Johns County,Ultrasound 001,3,21,3
52015,ASV St. Johns County,Vascular Venous Access PICC,1,34,1
52015,ASV St. Johns County,Volunteer Services 001,1,34,1
